,tokens,dbz,doomEternal,twice,maroon5,coldplay,bioshock
390,projects,0,0,0,0,1,0
391,jagger,0,0,0,1,0,0
392,n't,0,0,0,1,0,0
393,twicecoaster,0,0,1,0,0,0
394,causes,0,0,0,0,1,0
395,dropped,0,0,0,1,0,0
396,not,0,0,0,0,0,1
397,called,0,0,0,0,0,1
398,2015–2018,1,0,0,0,0,0
399,long-time,0,0,0,1,0,0
400,player,0,1,0,0,0,1
401,2001,0,0,0,1,0,0
402,adventures,1,0,0,0,0,0
403,players,0,1,0,0,0,0
404,booker,0,0,0,0,0,1
405,story-based,0,0,0,0,0,1
406,three,0,0,0,0,1,0
407,wrist,0,0,0,1,0,0
408,ran,1,0,0,0,0,0
409,12,0,0,0,0,1,0
410,nativist,0,0,0,0,0,1
411,according,0,0,0,0,0,1
412,due,1,0,0,0,0,0
413,standalone,0,1,0,0,0,1
414,crazes,0,0,1,0,0,0
415,pj,0,0,0,1,0,0
416,korean,0,0,1,0,0,0
417,adding,0,0,0,1,0,0
418,makes,0,0,0,1,0,0
419,success,1,0,0,0,0,0
420,contrast,0,0,0,0,0,1
421,feel,0,0,1,0,0,0
422,hands,0,0,0,1,0,0
423,recorded,0,0,0,0,1,0
424,fight,0,1,0,0,0,1
425,majin,1,0,0,0,0,0
426,adaptations,1,0,0,0,0,0
427,asian,0,0,1,0,0,0
428,levine,0,0,0,1,0,1
429,he,1,0,0,0,0,0
430,360,0,0,0,0,0,1
431,digging,0,0,0,1,0,0
432,pre-release,0,0,0,0,0,1
433,fifth,0,1,0,1,1,0
434,art,0,0,0,0,0,1
435,publications,0,0,0,0,0,1
436,rhythm,0,0,0,1,1,0
437,sugar,0,0,0,1,0,0
438,links,0,0,0,0,0,1
439,came,0,0,0,1,0,0
440,studio,0,0,1,1,1,0
441,adapts,1,0,0,0,0,0
442,matt,0,0,0,1,0,0
443,while,0,0,0,1,0,1
444,gohan,1,0,0,0,0,0
445,icon,1,0,0,0,0,0
446,similar,0,0,0,0,0,1
447,through,1,0,0,0,0,1
448,then,0,0,0,0,1,0
449,separate,0,0,0,1,0,0
450,vigors,0,0,0,0,0,1
451,two-part,0,1,0,0,0,0
452,dahyun,0,0,1,0,0,0
453,populi,0,0,0,0,0,1
454,her,0,0,0,0,0,1
455,anime,1,0,0,0,0,0
456,dusick,0,0,0,1,0,0
